n,matrix,seed,residual,error
64,random,0,6.187678404288785e-14,3.3509245632694357e-14
64,random,1,4.976239555374094e-14,1.846778497794597e-14
64,random,2,5.695173587722627e-14,2.3053374092260866e-14
64,random,3,5.2985909993837085e-14,1.3947335546506504e-14
64,random,4,5.503941142139405e-14,4.7169978111921484e-14
64,random,5,8.358998842079436e-14,6.435559813976367e-14
64,random,6,7.337028787717701e-14,2.523822900108157e-14
64,random,7,9.412674825976362e-14,3.667485270940781e-14
64,random,8,6.804861140131619e-14,1.1843368836825317e-13
64,random,9,5.723638487810683e-14,2.9290115847007816e-14
64,random,10,5.728234400988492e-14,8.285767814982656e-14
64,random,11,5.992489839940655e-14,1.2320349548974386e-13
64,random,12,6.414053498639319e-14,2.5117553801087085e-14
64,random,13,7.950871318039131e-14,4.563678395001024e-14
64,random,14,7.517087180487323e-14,3.4524544542769287e-14
64,random,15,6.932771653736562e-14,2.923999503830067e-14
64,random,16,1.2167456808923735e-13,1.0217954962839482e-13
64,random,17,9.118414181594736e-14,2.7850410942152727e-13
64,random,18,6.249283574066527e-14,8.562029600750213e-14
64,random,19,6.517302307357995e-14,3.055857363338506e-14
64,random,20,8.20547203387344e-14,1.1069151833720614e-13
64,random,21,9.381062653576328e-14,2.4406257768570863e-13
64,random,22,7.952779851846827e-14,4.800504735212922e-14
64,random,23,6.184928811907551e-14,2.236310253264721e-13
64,random,24,7.580831747467851e-14,5.58652929490272e-14
64,random,25,8.992691707152948e-14,6.083515665255649e-14
64,random,26,6.971997286510061e-14,5.555820474526392e-14
64,random,27,7.003246006663864e-14,1.965314276951241e-14
64,random,28,5.524798744632462e-14,8.680460315731956e-14
64,random,29,7.933155314248108e-14,1.8162641307426828e-13
64,random,30,8.505033026412784e-14,4.394057399924765e-14
64,random,31,5.897782256033957e-14,2.3261225790395262e-14
64,random,32,8.371464432445685e-14,1.9401740577013044e-13
64,random,33,7.195170325942687e-14,2.913061047915432e-14
64,random,34,7.480827406945711e-14,4.611864306164288e-14
64,random,35,7.023808219073524e-14,3.006819294772301e-14
64,random,36,6.388945254463347e-14,2.443858873156478e-13
64,random,37,6.040266291023252e-14,7.293582254661502e-14
64,random,38,8.655269078789384e-14,1.1918121510535482e-11
64,random,39,6.677087010783679e-14,8.999842013067923e-14
64,random,40,6.866098875791055e-14,4.804098081576302e-14
64,random,41,5.615160801311499e-14,4.077164630631166e-14
64,random,42,7.819817078700642e-14,5.871222139035038e-14
64,random,43,6.540410435266345e-14,1.735751238041345e-14
64,random,44,8.198228413799545e-14,4.379207134283063e-14
64,random,45,8.625432642422977e-14,3.029098612434381e-14
64,random,46,5.295891839051831e-14,1.5436975467519898e-13
64,random,47,7.638503845648786e-14,4.539576913516779e-14
64,random,48,5.663293789824921e-14,1.417112788442914e-10
64,random,49,5.6406432008542166e-14,2.0159449124405603e-13
128,random,0,2.471671145595785e-13,5.084589464208468e-13
128,random,1,1.833078742905549e-13,2.3546526942661703e-13
128,random,2,1.898451506225485e-13,1.5409903580520057e-13
128,random,3,2.248092792962424e-13,2.823386867393165e-13
128,random,4,2.178741899119812e-13,2.1149052168527165e-13
128,random,5,2.527448014277008e-13,1.386085768201536e-13
128,random,6,2.1854152972661359e-13,2.0244451389131742e-12
128,random,7,2.2306986038006925e-13,1.005918078447618e-12
128,random,8,2.230615718237688e-13,1.8637480278447186e-13
128,random,9,2.0690339807749773e-13,1.4282275951437725e-13
128,random,10,1.628030679898497e-13,7.941246102225664e-14
128,random,11,2.0210621427730652e-13,1.7202091619575397e-13
128,random,12,2.3665259925684046e-13,9.388739366125989e-14
128,random,13,2.2036335754907842e-13,1.664632728107285e-13
128,random,14,2.004320037254852e-13,8.887728839680638e-14
128,random,15,2.8865621964799376e-13,3.7763217417268915e-13
128,random,16,2.3847445846699686e-13,3.817263698352872e-13
128,random,17,2.730184471860478e-13,7.837509256708544e-13
128,random,18,2.303317609817551e-13,6.759167067708335e-13
128,random,19,2.321290237954312e-13,7.942398717773569e-13
128,random,20,2.3868886178406666e-13,6.998923789217949e-14
128,random,21,2.201339059454984e-13,2.0303159358757647e-13
128,random,22,2.1705300240946503e-13,7.302238226041724e-14
128,random,23,2.4630842647803926e-13,9.268607006345917e-14
128,random,24,3.130863783657496e-13,1.241639400906356e-13
128,random,25,2.649550446582911e-13,4.98750688020017e-13
128,random,26,2.1302550204687746e-13,2.4485604402563545e-12
128,random,27,2.0604854010870617e-13,5.795523701150479e-14
128,random,28,2.841518612152421e-13,1.2253793408694986e-12
128,random,29,2.00382923171085e-13,1.1859785651456294e-13
128,random,30,2.701851535590848e-13,7.543906223861964e-14
128,random,31,2.392169703964111e-13,3.212124262023709e-13
128,random,32,2.3148147401029024e-13,6.46370871631616e-12
128,random,33,2.2832167710882355e-13,9.52521536125807e-14
128,random,34,2.775015053573997e-13,1.5230957029404723e-13
128,random,35,2.4930944870386873e-13,1.3207954286537163e-13
128,random,36,2.3323912401980604e-13,3.7504636897301194e-13
128,random,37,2.4942301209157006e-13,2.3731375977925473e-12
128,random,38,1.722898734213029e-13,1.4355515054204279e-12
128,random,39,2.118986218757806e-13,2.663689736373813e-13
128,random,40,2.7938585391683946e-13,7.49067400666811e-14
128,random,41,2.5427558902075563e-13,1.9068066711548259e-13
128,random,42,2.5685035468719684e-13,2.2106606308833984e-13
128,random,43,1.4747523338089644e-13,6.083363704124904e-14
128,random,44,2.073346180145551e-13,6.811212012764512e-13
128,random,45,2.212090053667805e-13,3.54532544199701e-13
128,random,46,2.2044254681290317e-13,1.3699985679379114e-13
128,random,47,2.3527708450183446e-13,2.0622816296133444e-13
128,random,48,2.4476809831674116e-13,9.34240128232333e-13
128,random,49,3.5010857997229327e-13,4.47889424928837e-13
256,random,0,8.975541171709832e-13,9.626118869648704e-13
256,random,1,8.223896101530815e-13,6.2132814309522305e-12
256,random,2,9.877824893775757e-13,1.082126835930822e-12
256,random,3,8.818168257643222e-13,2.8987865769570755e-13
256,random,4,8.049674930253073e-13,2.9320071536122164e-13
256,random,5,8.23087363911924e-13,7.961209123222638e-13
256,random,6,8.970849431173307e-13,6.936563465300222e-13
256,random,7,8.6824014751204e-13,4.080865877361356e-13
256,random,8,9.493342777863526e-13,1.9618131077549583e-12
256,random,9,9.984852356533348e-13,4.563203420384182e-13
256,random,10,8.513603942639582e-13,3.8166354443381067e-13
256,random,11,1.2070123330642313e-12,4.077821932167814e-12
256,random,12,1.4500140440077628e-12,8.514830208924219e-13
256,random,13,8.307076838592733e-13,8.019773538422965e-13
256,random,14,6.838956889954994e-13,2.580973649724855e-13
256,random,15,8.033202879415168e-13,5.00698693993133e-13
256,random,16,8.157722060965364e-13,5.781719073855514e-13
256,random,17,9.040444804793498e-13,4.1119479083796806e-12
256,random,18,8.81261023647873e-13,5.56753147566513e-13
256,random,19,7.71224589062491e-13,4.778909582861847e-13
256,random,20,9.330952615722374e-13,1.2131875932637224e-12
256,random,21,1.0097445389084633e-12,2.7005351396911026e-12
256,random,22,8.459942647156336e-13,8.474591244749366e-13
256,random,23,7.284204315547331e-13,4.764204638940372e-13
256,random,24,7.902307944262076e-13,3.0983691156609926e-13
256,random,25,8.386776695215525e-13,3.868626254092405e-13
256,random,26,9.714134761259689e-13,3.801556494806206e-12
256,random,27,9.352485547583466e-13,1.6927807907229796e-12
