n,seed,res64,err64,res32,err32,res_mixed,err_mixed
64,0,6.187678404288785e-14,3.3509245632694357e-14,639.7595168462668,77.73958210984327,1.252864322838252e+16,1282959466118321.8
64,1,4.976239555374094e-14,1.846778497794597e-14,884.0720460200716,116.86475395000026,4737353605969.3,637399764791.7301
64,2,5.695173587722627e-14,2.3053374092260866e-14,194.97894748330683,29.274852511729286,7552825869500.771,846830460118.4348
64,3,5.2985909993837085e-14,1.3947335546506504e-14,519.7773521093716,65.30642660550633,9439070800.39558,1230621433.0184076
64,4,5.503941142139405e-14,4.7169978111921484e-14,362.1322553342515,48.9544282811799,659778061586071.2,88018905447131.58
64,5,8.358998842079436e-14,6.435559813976367e-14,307.955972036751,42.29566245512668,49214682544856.66,5701660962140.509
64,6,7.337028787717701e-14,2.523822900108157e-14,573.7950867198706,57.44887856163112,410960810228.0158,47107876999.42086
64,7,9.412674825976362e-14,3.667485270940781e-14,1169.531674933779,147.33465017366393,23746352180708.047,3013705725112.75
64,8,6.804861140131619e-14,1.1843368836825317e-13,711.4038343017584,86.62217389084731,1.5915272019472054e+17,2.1839642023379864e+16
64,9,5.723638487810683e-14,2.9290115847007816e-14,512.283776302495,67.95901423111782,6231703913.031667,869038861.083916
64,10,5.728234400988492e-14,8.285767814982656e-14,1922.819629492929,229.78082108432997,832672940424716.2,97692927129748.53
64,11,5.992489839940655e-14,1.2320349548974386e-13,998.6061980355563,131.39764947855335,1054662039526647.9,125644854228651.81
64,12,6.414053498639319e-14,2.5117553801087085e-14,268.95879523201575,36.255756514658344,395028043377.2186,45775596072.55257
64,13,7.950871318039131e-14,4.563678395001024e-14,1081.0814258362655,130.6435391288744,1.0369923144873466e+16,1223412516713828.8
64,14,7.517087180487323e-14,3.4524544542769287e-14,384.99673089409714,47.76203831131606,10272582363343.96,1324400781243.997
64,15,6.932771653736562e-14,2.923999503830067e-14,377.649878386812,53.48346803355682,3520675396449072.5,428965987347697.4
64,16,1.2167456808923735e-13,1.0217954962839482e-13,934.7792892685109,117.14910899610284,249157835494.5548,31012741619.506443
64,17,9.118414181594736e-14,2.7850410942152727e-13,2712.3507146116613,334.36223633615884,2419134380797321.5,308391482551025.25
64,18,6.249283574066527e-14,8.562029600750213e-14,1167.094329147591,139.21940521241123,148785148176210.12,20904254841033.582
64,19,6.517302307357995e-14,3.055857363338506e-14,2748.0372496625423,367.48497647571645,3.2486441924733854e+19,4.266677630351778e+18
64,20,8.20547203387344e-14,1.1069151833720614e-13,1070.7564360938773,134.85351123536265,5297033165920856.0,614135210995431.0
64,21,9.381062653576328e-14,2.4406257768570863e-13,1389.0601908726944,155.65894151507405,3.334028116153017e+21,3.7966070615717315e+20
64,22,7.952779851846827e-14,4.800504735212922e-14,308.25501618658797,36.07385496245647,62949411844.32022,7887257752.051478
64,23,6.184928811907551e-14,2.236310253264721e-13,3775.579834599553,435.3774151282585,9.619187029400817e+19,1.132257070216789e+19
64,24,7.580831747467851e-14,5.58652929490272e-14,615.7082871461041,74.5005404894561,1.1806941672253948e+16,1408537689140819.2
64,25,8.992691707152948e-14,6.083515665255649e-14,532.5401246088478,87.64537768785011,9773751606.310522,1135628485.4140718
64,26,6.971997286510061e-14,5.555820474526392e-14,256.73799086385264,31.03919787604364,90722006425.11548,10332053132.565979
64,27,7.003246006663864e-14,1.965314276951241e-14,730.3647203385535,89.2704451123178,1691106039306.0833,196072921012.37717
64,28,5.524798744632462e-14,8.680460315731956e-14,250.62620698970807,34.45711164273943,3.1889575948703012e+16,3662973477612192.0
64,29,7.933155314248108e-14,1.8162641307426828e-13,3756.23806091949,437.5556138251208,1.1377008566699688e+16,1334342633094580.8
128,0,2.471671145595785e-13,5.084589464208468e-13,903.2068189352065,83.55202303862374,7.161577388833583e+18,6.58086108727616e+17
